"Shiner Bock","Spoetzl Brewery",Bock,4.4,13,"Late night study beer while I watch the office. Shiner bock is one of my go-to beers. Love it.",,,,,,3.75,"2015-06-30 00:12:32",https://untappd.com/c/198329238,https://untappd.com/beer/4488,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Shiner White Wing","Spoetzl Brewery",Witbier,4.7,0,"Pretty sweet. I was surprised.",,,,,,3.75,"2015-06-30 18:51:28",https://untappd.com/c/198472331,https://untappd.com/beer/475462,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Shiner White Wing","Spoetzl Brewery",Witbier,4.7,0,"Another just because.",,,,,,3.75,"2015-06-30 19:27:29",https://untappd.com/c/198491175,https://untappd.com/beer/475462,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Fancy Lawnmower","Saint Arnold Brewing Company",Kölsch,4.9,20,"Internet is out. Time to entertain myself",,,,,,3.75,"2015-06-30 22:40:50",https://untappd.com/c/198563599,https://untappd.com/beer/2425,https://untappd.com/brewery/2940,"United States",Houston,TX
"Shiner Premium","Spoetzl Brewery","Golden Lager",4.5,13,,,,,,,3,"2015-07-01 23:27:39",https://untappd.com/c/198845688,https://untappd.com/beer/305779,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Miller Lite","Miller Brewing Company","American Light Lager",4.17,10,,,,,,,1.5,"2015-07-01 23:33:52",https://untappd.com/c/198846638,https://untappd.com/beer/3811,https://untappd.com/brewery/863,"United States",Milwaukee,WI
"Purple Haze","Abita Brewing Company","Fruit Beer",4.2,13,"Tastes like wine almost. Interesting flavor.",,,,,,3,"2015-07-03 19:31:00",https://untappd.com/c/199585545,https://untappd.com/beer/4995,https://untappd.com/brewery/10,"United States","Abita Springs",LA
"Ruination Double IPA 2.0","Stone Brewing Co.","Imperial / Double IPA",8.5,100,"Dang that's bitter. ",,,,,,4,"2015-07-04 16:56:34",https://untappd.com/c/200068789,https://untappd.com/beer/1044097,https://untappd.com/brewery/1204,"United States",Escondido,CA
"Purple Haze","Abita Brewing Company","Fruit Beer",4.2,13,,,,,,,3,"2015-07-05 00:18:37",https://untappd.com/c/200347968,https://untappd.com/beer/4995,https://untappd.com/brewery/10,"United States","Abita Springs",LA
"Shiner Premium","Spoetzl Brewery","Golden Lager",4.5,13,,,,,,,2.75,"2015-07-05 16:17:54",https://untappd.com/c/200524933,https://untappd.com/beer/305779,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Shiner Bock","Spoetzl Brewery",Bock,4.4,13,Yum.,,,,,,3.75,"2015-07-05 17:21:41",https://untappd.com/c/200556845,https://untappd.com/beer/4488,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Cinnamon Horchata Ale","Blue Moon Brewing Company","Herbed/Spiced Beer",5.5,0,,,,,,,4,"2015-07-06 17:59:06",https://untappd.com/c/200813305,https://untappd.com/beer/612704,https://untappd.com/brewery/127804,"United States",Denver,CO
"Miller Lite","Miller Brewing Company","American Light Lager",4.17,10,,,,,,,1.5,"2015-07-07 17:43:21",https://untappd.com/c/201016883,https://untappd.com/beer/3811,https://untappd.com/brewery/863,"United States",Milwaukee,WI
